Division;Club;Player;Best Pos;Sec. Position;Position;Age;Height;Wage;Transfer Value;Left Foot;Right Foot;Rating;PoM;Minutes;Goals;Mins/Gl;Goals per 90 minutes;xG;NP-xG;xG-OP;xG/90;Conv %;xG/shot;Shot/90;ShT/90;Shots From Outside The Box Per 90 minutes;Shot %;Goals From Outside The Box;Pens;Pen/R;Assists;Asts/90;xA;xA/90;Pas %;Ps A/90;Ch C/90;OP-KP/90;Pr passes/90;Crs A/90;Cr C/90;Cr C/A;OP-Crs A/90;OP-Crs C/90;OP-Cr %;Drb/90;Fouls Against;Off;Poss Lost/90;Poss Won/90;Tck/90;Int/90;Pres A/90;Tck R;Tck A;K Tck;Blk/90;Clr/90;Shts Blckd/90;Fouls Made;Yel;Red cards;Dist/90;Sprints/90;Recurring Injury;Injury Susceptibility;Aer A/90;Hdr %;K Hdrs/90;Clean Sheets;xGP;MLG;Sv %;Svh;Svp;Svt;Goals Conceded;Pens Faced;Pens Saved Ratio;Tgls/90;Tcon/90
Premier League;Man City;Bernardo Silva;M/AM (C);M (R);M/AM (RC);32;"5'8""";£325K - £375K p/w;Not for Sale;Very Strong;Weak;7.32;2;1518;9;168.666666666667;0.5;6.02;5.26;2.98;0.4;20%;0.130869565217391;2.7;1.4;1.3;50%;2;1;100;6;0.4;4.36;0.3;90%;59.6;0.6;2.1;6.3;1.8;0.5;30;0.7;0.2;36;1.9;17;4;8.3;4.8;1.1;2.3;7.6;66;29;0;0.5;0.4;0.4;13;1;0;12.9;24.8;No recurring injuries;Below Average;1.0;6;0.0;0;0;0;0;0;0;0;0;0;0;2.8;0.9
Premier League;Man City;Jérémy Doku;AM (L);AM (R);AM (RL), ST (C);24;"5'7""";£275K - £300K p/w;£74M - £92M;Fairly Strong;Very Strong;7.24;2;1299;7;185.571428571429;0.5;3.92;3.92;3.08;0.3;23%;0.126451612903226;2.1;1.1;0.8;52%;1;0;0;4;0.3;3.74;0.3;86%;58.1;0.9;3.0;7.8;4.8;1.9;38;4.8;1.9;39;9.4;39;7;16.6;8.0;1.8;2.6;14.8;72;36;2;0.3;0.7;0.1;16;0;0;13.2;21.1;No recurring injuries;Average;2.4;14;0.0;0;0;0;0;0;0;0;0;0;0;2.8;0.8
First Division;R. Madrid;Jude Bellingham;M (C);M (L), AM (C);M (LC), AM (C);23;"6'1""";£250K - £350K p/w;£251M - £273M;Fairly Strong;Very Strong;7.02;0;1744;9;193.777777777778;0.5;5.89;5.89;3.11;0.3;15%;0.0965573770491803;3.1;1.4;1.7;46%;2;0;0;7;0.4;8.02;0.4;87%;15.1;0.8;1.2;1.5;0.4;0.3;62;0.4;0.3;63;0.6;11;3;7.5;14.2;0.1;0.5;0.9;50;4;0;0.2;0.0;0.2;8;3;0;3.8;3.6;No recurring injuries;High;1.1;32;0.0;0;0;0;0;0;0;0;0;0;0;2.6;0.8
Premier League;Man Utd;Morgan Rogers;AM (L);M (C), AM (R), ST (C);M (C), AM (RLC), ST (C);24;"6'2""";£105K p/w;£86M - £107M;Fairly Strong;Very Strong;7.22;3;1372;7;196;0.5;4.47;4.47;2.53;0.3;16%;0.103953488372093;2.8;1.3;1.1;47%;2;0;0;4;0.3;4.67;0.3;86%;42.9;0.9;2.9;5.4;2.2;1.0;44;2.2;1.0;45;3.4;27;3;11.7;4.7;1.4;1.6;7.3;96;23;3;0.3;0.5;0.2;5;0;0;13.2;17.8;No recurring injuries;Low;4.7;17;0.2;0;0;0;0;0;0;0;0;0;0;2.5;2.1
Premier League;Chelsea;Johan Manzambi;M (C);ST (C);DM, M/AM (C), ST (C);21;"6'0""";£110K - £130K p/w;£96M - £118M;Reasonable;Very Strong;7.11;3;1186;6;197.666666666667;0.5;5.41;5.41;0.59;0.4;13%;0.115106382978723;3.6;1.7;1.2;47%;0;0;0;3;0.2;3.39;0.3;87%;45.5;0.5;2.2;2.8;3.0;0.8;25;1.6;0.5;33;1.9;16;6;10.5;5.8;0.5;1.8;6.7;64;11;0;0.2;0.5;0.2;8;1;0;11.6;14.5;No recurring injuries;Below Average;3.2;57;0.2;0;0;0;0;0;0;0;0;0;0;2.4;0.7
Premier League;Liverpool;Florian Wirtz;AM (C);M (C), AM (RL);M (C), AM (RLC);23;"5'10""";£300K - £350K p/w;£189M - £226M;Reasonable;Very Strong;7.27;4;1589;8;198.625;0.5;7.2;7.2;0.8;0.4;13%;0.1125;3.6;1.6;2.0;45%;1;0;0;7;0.4;5.91;0.3;86%;49.3;0.7;2.9;4.1;6.3;1.4;21;1.5;0.7;44;1.5;19;12;13.8;3.2;0.3;0.8;1.6;60;10;0;0.1;0.1;0.1;12;0;0;12.5;7.3;No recurring injuries;Below Average;2.4;16;0.0;0;0;1;0;0;0;0;0;0;0;2.1;1.1
First Division;R. Madrid;Vinícius Júnior;AM (L);ST (C);AM (L), ST (C);26;"5'9""";£450K - £550K p/w;£184M - £220M;Fairly Strong;Very Strong;7.55;0;1875;9;208.333333333333;0.4;11.24;11.24;-2.24;0.5;10%;0.126292134831461;4.3;2.2;1.5;51%;3;0;0;7;0.3;4.79;0.2;92%;29.2;0.8;1.3;1.3;0.6;0.4;61;0.6;0.4;62;2.0;33;13;7.6;3.2;0.2;1.1;2.7;63;8;0;0.1;0.2;0.0;16;0;0;10.8;5.9;No recurring injuries;Below Average;4.6;21;0.0;0;0;0;0;0;0;0;0;0;0;2.8;0.9
Serie A;Casciavit;Rafael Leão;AM (L);;AM (L), ST (C);27;"6'2""";£105K - £120K p/w;£65M - £80M;Fairly Strong;Very Strong;6.86;1;1266;6;211;0.4;5.31;5.31;0.69;0.4;15%;0.136153846153846;2.8;1.5;0.6;54%;1;0;0;3;0.2;1.59;0.1;90%;28.1;0.4;1.5;1.1;0.8;0.4;45;0.8;0.4;45;0.9;11;23;14.1;1.4;0.2;0.5;1.8;75;4;0;0.1;0.0;0.1;25;0;0;10.5;5.8;No recurring injuries;Very Low;6.7;43;0.1;0;0;0;0;0;0;0;0;0;0;1.8;1.1
First Division;Barcelona;Raphinha;AM (L);M (RL), AM (C);M (RL), AM (RLC);29;"5'9""";£325K - £400K p/w;£190M - £207M;Very Strong;Fairly Strong;7.36;2;1669;6;278.166666666667;0.3;4.67;4.67;1.33;0.3;14%;0.111190476190476;2.3;1.1;0.6;48%;0;0;0;6;0.3;3.25;0.2;90%;60.4;0.3;2.7;3.8;6.6;1.2;18;3.8;0.8;20;3.0;23;14;11.9;7.3;1.6;2.1;11.4;67;43;1;0.2;0.6;0.0;29;2;0;12.8;18.8;No recurring injuries;Below Average;2.8;29;0.0;0;0;0;0;0;0;0;0;0;0;1.8;1.2
Bundesliga;FC Bayern München;Michael Olise;AM (C);M (RC);M/AM (RC);24;"6'0""";£200K - £250K p/w;£126M - £167M;Very Strong;Reasonable;7.17;2;1126;4;281.5;0.3;2.39;2.39;1.61;0.2;10%;0.05975;3.2;1.4;1.5;45%;6;0;0;5;0.4;2.56;0.2;88%;59.9;0.4;2.0;7.4;8.5;1.4;16;3.9;0.8;20;5.3;20;10;10.6;7.6;1.3;2.6;10.6;62;26;0;0.2;0.4;0.2;15;1;0;12.7;18.5;No recurring injuries;Above Average;2.4;47;0.0;0;0;0;0;0;0;0;0;0;0;1.9;1.0
Premier League;Arsenal;Bukayo Saka;AM (R);;AM (RL);25;"5'10""";£275K - £325K p/w;£138M - £181M;Very Strong;Reasonable;7.58;8;2031;7;290.142857142857;0.3;8.22;5.16;-1.22;0.4;10%;0.115774647887324;3.1;1.5;1.8;48%;1;4;100;11;0.5;10.91;0.5;90%;72.8;1.7;3.1;8.5;9.3;2.6;27;4.6;1.9;41;5.8;49;21;18.9;10.5;3.1;3.6;14.7;78;90;1;0.3;0.7;0.1;41;3;0;13.8;22.8;No recurring injuries;Above Average;2.2;39;0.0;0;0;1;0;0;0;0;0;0;0;2.2;1.1
Premier League;Chelsea;Cole Palmer;AM (RC);M (C), AM (L), ST (C);M (C), AM (RLC), ST (C);24;"6'2""";£130K - £145K p/w;£90M - £136M;Very Strong;Reasonable;7.06;2;1794;6;299;0.3;8.67;6.36;-2.67;0.4;9%;0.13546875;3.2;1.7;1.4;52%;0;4;100;7;0.4;5.27;0.3;90%;55.9;0.6;2.2;5.4;2.7;0.5;18;1.3;0.2;15;1.6;18;11;11.2;4.3;0.7;1.2;6.5;65;20;0;0.2;0.4;0.1;15;1;0;11.4;11.3;No recurring injuries;Above Average;2.1;39;0.1;0;0;0;0;0;0;0;0;0;0;1.7;0.8
Premier League;Man City;Phil Foden;AM (LC);AM (R);M (C), AM (RLC);26;"5'7""";£325K - £350K p/w;£102M - £152M;Very Strong;Reasonable;7.41;2;1652;5;330.4;0.3;7.12;7.12;-2.12;0.4;9%;0.124912280701754;3.1;1.3;1.3;40%;1;0;0;8;0.4;6.34;0.3;88%;50.9;1.1;3.4;4.9;3.2;0.9;29;1.4;0.6;44;2.3;31;7;9.3;5.1;1.3;1.6;9.3;73;33;2;0.3;0.2;0.2;14;0;0;12.9;19.4;No recurring injuries;Below Average;0.9;25;0.0;0;0;0;0;0;0;0;0;0;0;3.0;1.0
First Division;Barcelona;Lamine Yamal;AM (R);;M/AM (R);19;"5'11""";£300K - £350K p/w;Not for Sale;Very Strong;Reasonable;7.34;2;1679;5;335.8;0.3;7.07;6.3;-2.07;0.4;7%;0.0942666666666667;4.0;1.8;1.7;44%;4;1;100;5;0.3;5.41;0.3;86%;58.5;0.6;2.7;6.2;7.1;1.8;25;3.7;1.0;26;4.0;16;13;9.3;8.1;1.3;2.5;10.0;81;31;0;0.4;0.4;0.1;16;1;0;12.6;17.0;No recurring injuries;Below Average;3.4;29;0.1;0;0;0;0;0;0;0;0;0;0;1.8;1.0
Premier League;Liverpool;Mohamed Salah;AM (R);AM (L), ST (C);AM (RL), ST (C);34;"5'9""";£400K - £450K p/w;£19.5M - £25M;Very Strong;Weak;6.77;1;1373;4;343.25;0.3;2.35;2.35;1.65;0.2;14%;0.0839285714285714;1.8;0.7;0.7;39%;1;0;0;1;0.1;3.58;0.2;92%;62.7;0.4;1.9;3.3;6.7;1.8;27;3.3;1.1;34;2.0;24;25;13.2;8.3;1.7;2.6;11.8;68;38;1;0.4;0.3;0.3;31;1;0;13.4;26.7;No recurring injuries;High;2.3;14;0.0;0;0;0;0;0;0;0;0;0;0;1.7;1.6
First Division;R. Madrid;Federico Valverde;DM;DM, M/AM (R);DM, M (RC), AM (R);28;"6'0""";£160K - £185K p/w;£95M - £140M;Fairly Strong;Very Strong;6.80;0;1665;4;416.25;0.2;2.12;2.12;1.88;0.1;14%;0.0757142857142857;1.5;0.8;0.7;50%;0;0;0;1;0.1;3.77;0.2;93%;17.4;0.1;0.5;1.7;0.4;0.1;14;0.3;0.1;17;0.2;8;0;9.1;12.4;0.6;0.9;3.0;69;16;0;0.1;0.4;0.1;4;2;0;4.3;6.8;No recurring injuries;Below Average;0.7;46;0.1;0;0;0;0;0;0;0;0;0;0;2.9;0.6
First Division;Barcelona;Pedri;M (C);AM (C);DM, M/AM (C);24;"5'9""";£325K - £400K p/w;£179M - £197M;Fairly Strong;Very Strong;7.17;2;1323;3;441;0.2;2.23;2.23;0.77;0.2;14%;0.106190476190476;1.4;0.9;0.7;62%;0;0;0;6;0.4;5.16;0.4;91%;59.2;0.4;1.1;6.0;1.1;0.0;0;0.3;0.0;0;0.3;11;1;4.8;13.1;1.9;1.7;6.3;80;35;1;0.4;0.6;0.1;6;0;0;10.2;15.1;No recurring injuries;Above Average;1.2;35;0.0;0;0;0;0;0;0;0;0;0;0;1.9;1.2
First Division;R. Madrid;Aurélien Tchouaméni;DM;D/M (C);D (C), DM, M (C);26;"6'2""";£180K - £240K p/w;£86M - £126M;Reasonable;Very Strong;7.06;1;1614;3;538;0.2;1.82;1.82;1.18;0.1;19%;0.11375;0.9;0.4;0.3;50%;1;0;0;2;0.1;3.33;0.2;92%;59.7;0.0;0.9;6.7;0.2;0.1;33;0.2;0.1;33;0.1;9;0;5.6;13.8;1.2;2.7;6.0;63;35;0;0.4;0.7;0.1;12;3;0;12.0;12.2;No recurring injuries;Average;3.7;60;0.6;0;0;0;0;0;0;0;0;0;0;2.8;0.7
Premier League;Liverpool;Virgil van Dijk;D (C);;D (C);35;"6'5""";£325K - £375K p/w;£4.7M - £8.6M;Reasonable;Very Strong;7.01;0;1890;3;630;0.1;1.5;1.5;1.5;0.1;33%;0.166666666666667;0.4;0.3;0.0;78%;0;0;0;1;0.0;0.38;0.0;95%;60.5;0.0;0.4;5.2;0.0;0.0;0;0.0;0.0;0;0.0;3;0;3.2;9.3;0.6;3.0;2.1;63;19;2;1.2;0.8;1.0;5;0;0;10.8;8.0;No recurring injuries;Above Average;7.0;68;1.7;0;0;0;0;0;0;0;0;0;0;2.0;1.7
Premier League;Chelsea;João Palhinha;DM;D/M (C);D (C), DM, M (C);31;"6'3""";£110K - £125K p/w;£21M - £26M;Weak;Very Strong;6.77;0;1067;1;1067;0.1;0.33;0.33;0.67;0.0;8%;0.0253846153846154;1.1;0.4;0.8;38%;0;0;0;0;0.0;0.43;0.0;92%;54.1;0.0;0.3;6.0;0.1;0.1;100;0.1;0.1;100;0.0;3;0;4.1;8.4;2.4;2.4;7.1;76;37;1;0.4;0.7;0.3;10;1;0;12.5;13.0;No recurring injuries;Above Average;5.0;58;1.1;0;0;0;0;0;0;0;0;0;0;1.6;0.8
Premier League;Spurs;Andreas Christensen;D (C);DM;D (C), DM;30;"6'2""";£97K - £110K p/w;£31M - £39M;Fairly Strong;Very Strong;6.92;0;1592;1;1592;0.1;0.83;0.83;0.17;0.0;6%;0.051875;0.9;0.5;0.6;50%;0;0;0;0;0.0;0.29;0.0;95%;53.5;0.0;0.4;4.6;0.0;0.0;0;0.0;0.0;0;0.0;2;0;3.2;7.7;0.9;3.1;4.0;76;21;0;0.7;0.4;0.5;11;2;0;11.2;8.7;No recurring injuries;High;2.6;50;0.1;0;0;0;0;0;0;0;0;0;0;1.7;0.7
Bundesliga;FC Bayern München;Joshua Kimmich;DM;WB (R);D/WB (R), DM, M (C);31;"5'10""";£275K - £350K p/w;Not for Sale;Fairly Strong;Very Strong;7.22;3;1734;1;1734;0.1;1.09;1.09;-0.09;0.1;7%;0.0726666666666667;0.8;0.4;0.3;53%;1;0;0;7;0.4;5.36;0.3;93%;68.7;0.8;1.5;7.5;5.4;0.8;15;0.2;0.0;0;0.2;11;2;4.7;13.6;0.9;2.1;7.1;77;22;1;0.6;0.6;0.3;24;3;0;11.8;14.4;No recurring injuries;Low;1.8;53;0.1;0;0;0;0;0;0;0;0;0;0;1.7;1.0
Ligue 1 McDonald's;Paris SG;Achraf Hakimi;WB (R);M (R);D/WB/M (R);28;"5'11""";£215K - £275K p/w;£125M - £183M;Reasonable;Very Strong;7.21;1;1748;1;1748;0.1;1.85;1.85;-0.85;0.1;5%;0.0925;1.0;0.2;0.4;20%;0;0;0;3;0.2;2.41;0.1;93%;76.6;0.2;0.7;11.2;0.9;0.2;23;0.8;0.2;25;1.3;15;0;8.4;12.2;2.5;3.7;7.8;84;57;0;0.6;0.7;0.4;23;2;0;12.0;17.1;No recurring injuries;Below Average;3.2;57;0.2;0;0;1;0;0;0;0;0;0;0;2.2;0.6
Ligue 1 McDonald's;Paris SG;Marquinhos;D (C);DM;D (C), DM;32;"6'0""";£225K - £300K p/w;Not for Sale;Reasonable;Very Strong;7.30;1;1933;1;1933;0.0;0.97;0.97;0.03;0.0;9%;0.0881818181818182;0.5;0.1;0.1;18%;1;0;0;0;0.0;1.24;0.1;94%;58.6;0.0;0.0;3.1;0.0;0.0;0;0.0;0.0;0;0.0;3;0;3.1;15.5;0.7;3.6;2.3;84;19;1;0.4;1.0;0.3;8;2;0;10.3;4.8;No recurring injuries;Average;6.4;83;1.4;0;0;0;0;0;0;0;0;0;0;2.2;0.5
First Division;R. Madrid;Thibaut Courtois;GK;;GK;34;"6'7""";£155K - £195K p/w;Not for Sale;Very Strong;Reasonable;7.24;1;1952;0;0;0.0;0;0;0;0.0;0%;0;0.0;0.0;0.0;0%;0;0;0;0;0.0;0;0.0;92%;22.8;0.0;0.0;0.0;0.0;0.0;0;0.0;0.0;0;0.0;4;0;5.0;5.3;0.0;0.0;0.0;100;1;0;0.0;1.3;0.0;0;0;0;4.9;0.0;No recurring injuries;Average;0.0;0;0.0;11;8.19;0;80;21;34;10;18;1;100;2.8;0.8
Premier League;Liverpool;Alisson;GK;;GK;34;"6'3""";£300K - £325K p/w;Not for Sale;Weak;Very Strong;6.83;0;2070;0;0;0.0;0;0;0;0.0;0%;0;0.0;0.0;0.0;0%;0;0;0;0;0.0;0;0.0;96%;24.0;0.0;0.0;0.3;0.0;0.0;0;0.0;0.0;0;0.0;2;0;1.3;7.1;0.0;0.5;0.0;0;1;0;0.0;1.3;0.0;0;0;0;7.1;0.1;No recurring injuries;Average;0.0;0;0.0;4;-8.48;1;73;31;44;13;37;1;0;2.0;1.6
First Division;R. Madrid;Eduardo Camavinga;DM;M (C);D (L), DM, M (C);24;"6'1""";£220K - £275K p/w;£138M - £160M;Very Strong;Reasonable;7.31;2;1562;0;0;0.0;1.12;1.12;-1.12;0.1;0%;0.0746666666666667;0.9;0.3;0.3;40%;0;0;0;4;0.2;2.81;0.2;93%;64.1;0.4;1.4;8.8;4.0;1.2;28;4.0;1.2;29;2.1;15;0;11.6;13.4;2.5;2.9;6.5;88;49;1;0.9;0.9;0.6;19;2;0;12.0;20.0;No recurring injuries;Below Average;3.9;66;0.1;0;0;0;0;0;0;0;0;0;0;2.9;0.7
Bundesliga;FC Bayern München;Dayot Upamecano;D (C);;D (C);28;"6'1""";£250K - £325K p/w;£95M - £142M;Reasonable;Very Strong;7.18;0;1509;0;0;0.0;0.45;0.45;-0.45;0.0;0%;0.1125;0.2;0.1;0.0;50%;0;0;0;1;0.1;0.91;0.1;92%;56.4;0.1;0.2;2.6;0.0;0.0;0;0.0;0.0;0;0.1;5;0;2.9;19.0;0.7;3.2;2.3;100;12;1;0.5;0.7;0.9;14;4;0;10.3;4.4;Recurring tight hamstring;Very High;5.9;79;1.4;0;0;0;0;0;0;0;0;0;0;1.7;0.7
Premier League;Man City;Rodri;DM;D (C);D (C), DM;30;"6'3""";£450K - £500K p/w;£85M - £127M;Fairly Strong;Very Strong;6.98;0;1679;0;0;0.0;0.79;0.79;-0.79;0.0;0%;0.0225714285714286;1.9;0.6;1.6;34%;0;0;0;3;0.2;1.19;0.1;92%;50.5;0.2;0.7;7.7;0.1;0.1;100;0.1;0.1;100;0.0;4;1;4.4;7.5;0.8;2.4;2.5;75;20;3;0.5;0.5;0.4;8;1;0;12.0;11.3;No recurring injuries;Below Average;4.6;69;1.3;0;0;0;0;0;0;0;0;0;0;3.1;1.1
Premier League;Man City;Rúben Dias;D (C);;D (C);29;"6'1""";£180K - £205K p/w;£65M - £81M;Fairly Strong;Very Strong;6.99;0;1748;0;0;0.0;0.12;0.12;-0.12;0.0;0%;0.06;0.1;0.0;0.0;0%;0;0;0;0;0.0;0.16;0.0;96%;62.0;0.1;0.1;3.6;0.0;0.0;0;0.0;0.0;0;0.0;2;2;3.3;9.7;0.6;3.7;2.8;92;13;1;0.8;0.9;0.6;13;2;0;10.8;8.1;No recurring injuries;Low;4.9;71;0.7;0;0;1;0;0;0;0;0;0;0;2.8;0.9
Bundesliga;FC Bayern München;Andriy Lunin;GK;;GK;27;"6'3""";£105K - £135K p/w;£42M - £50M;Reasonable;Very Strong;6.95;1;1710;0;0;0.0;0;0;0;0.0;0%;0;0.0;0.0;0.0;0%;0;0;0;0;0.0;0;0.0;94%;27.0;0.0;0.0;0.2;0.0;0.0;0;0.0;0.0;0;0.0;1;0;6.4;5.2;0.0;0.1;0.0;0;1;0;0.0;2.3;0.0;0;0;0;6.1;0.1;No recurring injuries;Low;0.0;0;0.0;7;0.16;1;71;10;31;5;18;1;0;1.8;0.9
Serie A;Blu-neri;Marcus Thuram;ST (C);AM (L);AM (L), ST (C);29;"6'4""";£110K - £165K p/w;£79M - £102M;Fairly Strong;Very Strong;7.36;4;1457;12;121.416666666667;0.7;5.62;5.62;6.38;0.3;27%;0.127727272727273;2.7;1.9;1.0;68%;2;0;0;3;0.2;3.37;0.2;88%;28.3;0.4;1.0;1.1;1.2;0.2;21;1.2;0.2;21;0.8;42;19;12.0;2.7;0.4;0.9;2.8;67;9;0;0.1;0.1;0.0;23;0;0;11.2;7.9;No recurring injuries;Above Average;5.4;32;0.1;0;0;0;0;0;0;0;0;0;0;1.7;0.9
