Division;Player;Position;Age;Height;Left Foot;Right Foot;Rating;PoM;Minutes;Goals;Mins/Gl;xG;NP-xG;xG-OP;xG/90;Conv %;xG/shot;Shot/90;ShT/90;Shots From Outside The Box Per 90 minutes;Shot %;Goals From Outside The Box;Pens;Pen/R;Team Goals;Assists;xA;xA/90;Pas %;Ps A/90;Ch C/90;OP-KP/90;Pr passes/90;Crs A/90;Cr C/90;OP-Crs A/90;OP-Crs C/90;Drb/90;Off;Poss Lost/90;Poss Won/90;Tck/90;Int/90;Pres A/90;Tck R;Tck A;K Tck;Blk/90;Clr/90;Shts Blckd/90;Fouls Made;Yel;Red cards;Dist/90;Sprints/90;Recurring Injury;Injury Susceptibility;Aer A/90;Hdr %;K Hdrs/90;Clean Sheets;xGP;MLG;Sv %;Svh;Svp;Svt;Goals Conceded;Pens Faced;Pens Saved Ratio
First Division;Jude Bellingham;M (LC), AM (C);22;"6'1""";Fairly Strong;Very Strong;6.70;1;3266;11;296.909090909091;10.7;10.7;0.3;0.3;11%;0.109183673469388;2.7;1.1;0.9;41%;0;1;100;65;4;6.68;0.2;89%;12.4;0.3;0.8;1.5;0.3;0.1;0.3;0.1;0.5;2;8.6;12.4;0.1;0.2;0.9;43;7;0;0.1;0.0;0.1;7;3;0;2.7;2.1;No recurring injuries;High;0.7;38;0.0;0;0;0;0;0;0;0;0;0;0
Ligue 1 McDonald's;Ousmane Dembélé;AM (RL), ST (C);29;"5'10""";Very Strong;Very Strong;7.27;3;3650;25;146;17.39;17.39;7.61;0.4;19%;0.132748091603053;3.2;2.1;1.0;65%;3;1;100;91;10;6.73;0.2;89%;33.6;0.4;1.5;1.7;1.7;0.3;0.8;0.3;1.2;38;5.9;2.8;0.3;0.8;2.6;55;22;0;0.1;0.1;0.0;37;0;0;11.5;7.0;No recurring injuries;Above Average;4.7;20;0.0;0;0;0;0;0;0;0;0;0;0
First Division;Pedri;DM, M/AM (C);23;"5'9""";Fairly Strong;Very Strong;7.11;4;4230;9;470;6.29;6.29;2.71;0.1;17%;0.116481481481481;1.1;0.5;0.4;41%;2;0;0;103;16;16.62;0.4;92%;66.0;0.6;1.5;7.1;1.1;0.3;0.4;0.3;0.2;1;3.8;12.6;1.0;2.5;7.2;67;73;1;0.4;0.8;0.1;11;3;0;12.2;16.9;No recurring injuries;Above Average;1.3;33;0.1;0;0;0;0;0;0;0;0;0;0
First Division;Thibaut Courtois;GK;34;"6'7""";Very Strong;Reasonable;7.04;3;4512;0;0;0;0;0;0.0;0%;0;0.0;0.0;0.0;0%;0;0;0;94;0;0;0.0;87%;23.6;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;4.6;4.4;0.1;0.0;0.0;33;9;0;0.0;1.3;0.0;0;0;0;5.6;0.0;No recurring injuries;Average;0.0;0;0.0;21;4.9;1;74;32;71;16;44;9;33
Bundesliga;Joshua Kimmich;D/WB (R), DM, M (C);31;"5'10""";Fairly Strong;Very Strong;7.20;2;4095;0;0;2.18;2.18;-2.18;0.0;0%;0.0990909090909091;0.5;0.1;0.2;27%;1;0;0;77;10;13.74;0.3;93%;67.9;0.4;1.0;7.5;4.2;0.8;0.2;0.0;0.1;1;2.8;17.2;1.2;2.7;6.3;73;73;6;0.4;0.6;0.1;49;8;0;12.2;13.0;No recurring injuries;Low;1.5;45;0.1;0;0;0;0;0;0;0;0;0;0
Premier League;Alisson;GK;33;"6'3""";Weak;Very Strong;7.03;3;4050;0;0;0;0;0;0.0;0%;0;0.0;0.0;0.0;0%;0;0;0;113;0;0;0.0;96%;24.4;0.0;0.0;0.2;0.0;0.0;0.0;0.0;0.0;0;1.8;7.0;0.0;0.4;0.0;0;3;0;0.0;1.1;0.0;1;1;0;6.8;0.0;No recurring injuries;Above Average;0.0;0;0.0;17;2.61;2;81;46;75;19;39;3;0
Premier League;Bukayo Saka;AM (RL);24;"5'10""";Very Strong;Reasonable;7.47;10;4104;22;186.545454545455;21.77;15.59;0.23;0.5;13%;0.125114942528736;3.8;1.8;1.8;48%;4;8;63;92;12;15.67;0.3;89%;66.4;1.1;2.5;7.3;7.1;1.9;3.6;1.2;5.2;36;16.3;8.6;2.2;2.5;14.2;70;144;0;0.2;0.7;0.1;72;4;0;13.6;22.2;No recurring injuries;Below Average;2.4;31;0.0;0;0;0;0;0;0;0;0;0;0
First Division;Raphinha;M (RL), AM (RLC);29;"5'9""";Very Strong;Fairly Strong;7.36;7;3819;18;212.166666666667;13.35;13.35;4.65;0.3;14%;0.102692307692308;3.1;1.4;1.1;46%;3;1;100;92;9;8.07;0.2;90%;57.4;0.4;2.2;4.7;7.3;1.4;3.5;0.7;3.3;37;10.9;7.2;1.4;2.2;11.8;72;81;2;0.2;0.3;0.0;72;7;0;12.9;19.4;No recurring injuries;Below Average;2.7;30;0.0;0;0;0;0;0;0;0;0;0;0
Bundesliga;Andriy Lunin;GK;27;"6'3""";Reasonable;Very Strong;6.90;2;2130;0;0;0;0;0;0.0;0%;0;0.0;0.0;0.0;0%;0;0;0;34;0;0;0.0;87%;24.2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;8.5;3.1;0.0;0.0;0.0;0;0;0;0.0;1.9;0.0;0;0;0;6.1;0.0;No recurring injuries;Low;0.0;0;0.0;11;3.63;0;69;9;27;5;18;0;0
Bundesliga;Michael Olise;M/AM (RC);24;"6'0""";Very Strong;Reasonable;7.51;11;3478;21;165.619047619048;15.45;14.64;5.55;0.4;16%;0.115298507462687;3.5;1.6;1.1;46%;1;1;0;68;4;9.33;0.2;88%;54.5;0.6;2.8;5.4;6.3;1.3;3.3;0.7;4.9;20;8.4;9.8;1.5;2.3;10.0;79;73;2;0.2;0.4;0.0;31;0;0;12.1;16.1;No recurring injuries;Above Average;2.7;34;0.0;0;0;0;0;0;0;0;0;0;0
Premier League;Cole Palmer;M (C), AM (RLC), ST (C);24;"6'2""";Very Strong;Reasonable;7.14;9;3558;18;197.666666666667;14.85;9.49;3.15;0.4;14%;0.1188;3.2;1.6;1.8;50%;0;7;71;64;6;10.52;0.3;88%;51.2;0.6;2.0;3.5;4.2;0.9;1.3;0.4;2.3;10;12.1;7.1;0.7;2.6;8.0;78;37;1;0.2;0.4;0.1;15;2;0;12.2;11.5;No recurring injuries;Above Average;3.1;31;0.1;0;0;0;0;0;0;0;0;0;0
Premier League;Declan Rice;DM, M (C);27;"6'2""";Reasonable;Very Strong;6.99;1;3396;8;424.5;10.25;10.25;-2.25;0.3;10%;0.12202380952381;2.2;0.9;0.9;40%;1;0;0;70;11;8.95;0.2;88%;56.4;0.4;1.5;4.4;6.1;1.4;1.1;0.3;0.7;13;9.4;7.8;0.8;2.0;6.8;65;49;4;0.6;0.4;0.5;32;5;0;12.5;24.8;No recurring injuries;Below Average;2.4;66;0.3;0;0;1;0;0;0;0;0;0;0
Premier League;Jérémy Doku;AM (RL), ST (C);23;"5'7""";Fairly Strong;Very Strong;7.24;8;3229;10;322.9;8.98;8.98;1.02;0.3;11%;0.102045454545455;2.5;1.2;0.8;48%;0;0;0;63;15;15.92;0.4;88%;56.0;1.1;2.5;7.9;4.7;1.5;4.6;1.5;8.9;22;15.2;6.7;1.8;2.0;13.4;76;83;1;0.4;0.8;0.3;53;2;0;12.8;19.5;No recurring injuries;Average;3.0;19;0.0;0;0;2;0;0;0;0;0;0;0
Premier League;Óscar Mingueza;D (R), WB (RL);27;"6'0""";Fairly Strong;Very Strong;6.83;0;1081;0;0;0.55;0.55;-0.55;0.0;0%;0.0458333333333333;1.0;0.1;0.7;8%;0;0;0;22;1;1.73;0.1;84%;53.2;0.4;1.0;6.9;4.7;0.5;4.7;0.5;1.8;0;14.7;12.2;2.0;3.6;9.2;77;31;0;0.7;1.2;0.3;8;1;0;13.8;25.3;No recurring injuries;Below Average;3.8;70;0.2;0;0;0;0;0;0;0;0;0;0
Premier League;Rúben Dias;D (C);29;"6'1""";Fairly Strong;Very Strong;6.97;1;3970;1;3970;1;1;0;0.0;8%;0.0833333333333333;0.3;0.1;0.0;33%;0;0;0;86;1;2.21;0.1;95%;59.6;0.0;0.2;3.9;0.1;0.0;0.1;0.0;0.0;2;3.2;12.6;0.4;3.1;2.8;60;30;6;0.5;1.2;0.4;31;9;1;10.8;6.9;No recurring injuries;Low;6.0;77;1.2;0;0;0;0;0;0;0;0;0;0
First Division;Federico Valverde;DM, M (RC), AM (R);27;"6'0""";Fairly Strong;Very Strong;6.67;0;4436;7;633.714285714286;9;9;-2;0.2;8%;0.108433734939759;1.7;0.5;0.7;33%;0;0;0;91;14;10.52;0.2;89%;10.8;0.4;0.5;1.3;0.6;0.1;0.2;0.0;0.1;1;9.9;13.3;0.3;0.3;1.2;93;15;0;0.1;0.1;0.0;5;2;1;2.1;2.9;No recurring injuries;Below Average;0.4;33;0.0;0;0;0;0;0;0;0;0;0;0
Ligue 1 McDonald's;Achraf Hakimi;D/WB/M (R);27;"5'11""";Reasonable;Very Strong;7.10;2;3372;2;1686;5.31;5.31;-3.31;0.1;6%;0.171290322580645;0.8;0.2;0.3;29%;1;0;0;77;3;4.33;0.1;92%;75.1;0.2;1.2;9.5;1.3;0.2;1.3;0.2;1.1;1;7.9;12.8;1.7;3.3;7.7;79;81;1;0.4;0.8;0.2;48;7;0;12.2;17.4;No recurring injuries;Above Average;3.1;46;0.2;0;0;1;0;0;0;0;0;0;0
First Division;Julián Álvarez;AM (RLC), ST (C);26;"5'7""";Strong;Very Strong;7.15;4;4326;30;144.2;24.26;21.83;5.74;0.5;16%;0.133296703296703;3.8;2.0;1.6;53%;6;10;70;84;3;6.52;0.1;89%;31.2;0.2;1.3;1.5;1.6;0.2;0.4;0.1;0.9;37;10.5;3.5;0.1;0.6;1.9;47;15;3;0.0;0.1;0.0;39;0;0;11.0;8.2;No recurring injuries;Below Average;4.6;21;0.1;0;0;0;0;0;0;0;0;0;0
Premier League;Phil Foden;M (C), AM (RLC);25;"5'7""";Very Strong;Reasonable;7.01;3;3543;12;295.25;9.53;9.53;2.47;0.2;16%;0.128783783783784;1.9;0.8;0.6;41%;0;0;0;74;12;12;0.3;89%;38.0;1.0;2.0;3.7;2.7;1.1;1.5;0.7;1.8;18;9.5;7.1;0.9;1.5;8.3;72;50;2;0.3;0.4;0.2;26;1;0;10.3;14.6;No recurring injuries;Above Average;1.1;22;0.0;0;0;0;0;0;0;0;0;0;0
Premier League;Florian Wirtz;M (C), AM (RLC);23;"5'10""";Reasonable;Very Strong;7.44;7;4232;25;169.28;21.82;20.28;3.18;0.5;15%;0.132242424242424;3.5;1.8;1.9;52%;6;2;50;112;23;16.76;0.4;87%;51.4;1.0;2.7;4.8;5.6;1.0;1.1;0.4;1.7;22;12.8;4.0;0.3;0.9;2.0;52;23;0;0.1;0.1;0.0;25;2;0;12.6;8.7;No recurring injuries;Below Average;2.1;12;0.0;0;0;0;0;0;0;0;0;0;0
Ligue 1 McDonald's;Marquinhos;D (C), DM;32;"6'0""";Reasonable;Very Strong;7.32;5;4051;3;1350.33333333333;2.14;2.14;0.86;0.0;12%;0.0823076923076923;0.6;0.2;0.1;38%;0;0;0;95;3;3.09;0.1;95%;57.3;0.1;0.1;2.8;0.0;0.0;0.0;0.0;0.0;0;2.7;15.8;0.7;3.1;2.8;86;35;5;0.6;0.9;0.5;16;2;0;10.1;4.9;No recurring injuries;Average;6.2;74;1.5;0;0;0;0;0;0;0;0;0;0
Premier League;Gianluigi Donnarumma;GK;27;"6'5""";Weak;Very Strong;7.17;5;3870;0;0;0;0;0;0.0;0%;0;0.0;0.0;0.0;0%;0;0;0;89;0;0;0.0;93%;22.8;0.0;0.0;0.4;0.0;0.0;0.0;0.0;0.0;0;2.3;7.4;0.0;0.3;0.0;50;4;0;0.0;1.0;0.0;0;0;0;6.9;0.0;No recurring injuries;Low;0.0;0;0.0;25;11.75;2;80;38;68;16;33;4;50
Bundesliga;Dayot Upamecano;D (C);27;"6'1""";Reasonable;Very Strong;7.17;3;3449;1;3449;0.98;0.98;0.02;0.0;11%;0.108888888888889;0.2;0.0;0.1;11%;0;0;0;69;3;1.36;0.0;95%;56.5;0.1;0.2;2.7;0.0;0.0;0.0;0.0;0.1;0;1.8;20.7;0.6;3.0;2.5;72;32;2;0.5;0.9;0.6;20;10;0;10.1;4.2;Recurring tight hamstring;Very High;5.6;75;1.4;0;0;0;0;0;0;0;0;0;0
Premier League;Bruno Fernandes;DM, M/AM (C);31;"5'10""";Fairly Strong;Very Strong;7.00;3;3056;14;218.285714285714;9.51;7.21;4.49;0.3;16%;0.110581395348837;2.5;1.4;1.7;56%;2;3;100;73;12;8.39;0.2;90%;49.5;0.6;1.8;3.7;5.9;1.3;0.6;0.3;1.1;8;9.2;4.9;1.1;1.9;6.8;79;48;0;0.3;0.1;0.1;26;2;0;13.4;20.6;No recurring injuries;Very Low;2.4;28;0.0;0;0;2;0;0;0;0;0;0;0
First Division;Aurélien Tchouaméni;D (C), DM, M (C);26;"6'2""";Reasonable;Very Strong;7.08;1;2870;2;1435;3.88;3.88;-1.88;0.1;7%;0.133793103448276;0.9;0.1;0.3;14%;0;0;0;65;3;4.54;0.1;92%;58.7;0.3;1.0;6.2;0.1;0.1;0.1;0.1;0.1;0;5.5;14.0;1.3;2.8;6.1;82;50;3;0.7;0.8;0.3;14;1;0;11.8;11.2;No recurring injuries;High;3.9;54;0.4;0;0;0;0;0;0;0;0;0;0
Bundesliga;Luis Díaz;M (L), AM (RL);29;"5'11""";Fairly Strong;Very Strong;7.15;4;2453;9;272.555555555556;4.21;4.21;4.79;0.2;16%;0.0751785714285714;2.1;0.9;0.7;45%;4;0;0;47;5;6.68;0.2;90%;53.6;0.4;2.2;4.4;2.8;0.6;2.8;0.6;4.5;23;10.9;6.6;1.8;2.1;10.3;75;65;0;0.3;0.6;0.0;40;2;0;12.4;18.1;No recurring injuries;Below Average;3.4;40;0.1;0;0;1;0;0;0;0;0;0;0
First Division;Rodrygo;AM (RL), ST (C);25;"5'9""";Reasonable;Very Strong;7.24;8;3860;17;227.058823529412;14.61;14.61;2.39;0.3;12%;0.102887323943662;3.3;1.3;1.2;38%;3;0;0;78;3;8.84;0.2;87%;55.4;0.5;2.4;5.4;3.0;0.8;2.9;0.8;4.2;24;13.6;5.7;1.4;2.5;10.4;72;83;1;0.3;0.5;0.0;39;3;0;12.4;18.2;No recurring injuries;Average;3.0;28;0.0;0;0;0;0;0;0;0;0;0;0
First Division;Robert Lewandowski;ST (C);37;"6'1""";Fairly Strong;Very Strong;7.10;6;3359;20;167.95;16.79;15.21;3.21;0.4;16%;0.137622950819672;3.3;1.8;1.1;57%;6;5;80;81;9;5.3;0.1;87%;31.7;0.3;1.3;1.1;0.4;0.1;0.4;0.1;0.5;29;15.1;2.0;0.2;0.6;1.6;86;7;1;0.1;0.1;0.0;34;0;1;10.5;6.0;No recurring injuries;Average;5.3;41;0.1;0;0;0;0;0;0;0;0;0;0
First Division;Eduardo Camavinga;D (L), DM, M (C);23;"6'1""";Very Strong;Reasonable;7.10;5;3979;2;1989.5;3.35;3.35;-1.35;0.1;6%;0.101515151515152;0.7;0.2;0.3;21%;1;0;0;80;5;7.89;0.2;92%;60.4;0.4;1.1;7.9;1.8;0.3;1.8;0.3;1.1;2;10.2;13.2;1.5;3.1;6.1;87;77;2;0.5;0.7;0.3;51;7;1;11.0;15.0;No recurring injuries;Below Average;2.9;72;0.3;0;0;0;0;0;0;0;0;0;0
Bundesliga;Jamal Musiala;M (C), AM (RLC);23;"6'0""";Fairly Strong;Very Strong;7.09;1;1125;3;375;3.44;3.44;-0.44;0.3;8%;0.086;3.2;1.4;1.0;45%;1;0;0;25;0;1.73;0.1;90%;50.3;0.5;2.2;4.2;2.6;0.6;2.6;0.6;4.2;5;12.2;9.4;1.4;2.4;8.8;77;22;1;0.1;0.3;0.0;15;0;0;11.9;13.7;No recurring injuries;Above Average;3.2;20;0.1;0;0;0;0;0;0;0;0;0;0
Ligue 1 McDonald's;Khvicha Kvaratskhelia;AM (LC);25;"6'0""";Strong;Very Strong;7.11;3;2385;13;183.461538461538;12.85;12.85;0.15;0.5;14%;0.139673913043478;3.5;2.0;1.0;57%;2;0;0;54;6;6.93;0.3;92%;57.9;0.4;1.8;5.3;3.5;1.4;3.0;1.1;3.1;17;12.3;5.3;1.0;1.8;8.8;68;38;0;0.2;0.5;0.0;24;0;0;12.5;15.1;No recurring injuries;Below Average;3.2;31;0.0;0;0;0;0;0;0;0;0;0;0
First Division;Frenkie de Jong;DM, M (C);29;"5'11""";Fairly Strong;Very Strong;6.98;0;3768;2;1884;2.66;2.66;-0.66;0.1;5%;0.07;0.9;0.3;0.5;32%;0;0;0;92;13;9.23;0.2;92%;64.3;0.4;1.3;8.3;1.1;0.2;0.1;0.0;0.2;1;5.2;12.4;1.0;2.8;7.0;74;57;3;0.4;0.7;0.1;14;1;0;11.9;13.9;No recurring injuries;Above Average;1.7;37;0.0;0;0;1;0;0;0;0;0;0;0
First Division;Dani Olmo;M/AM (C), ST (C);28;"5'10""";Fairly Strong;Very Strong;6.94;0;1647;5;329.4;5.27;5.27;-0.27;0.3;10%;0.101346153846154;2.8;1.1;1.4;38%;1;0;0;37;6;3.17;0.2;88%;51.2;0.6;2.1;3.8;2.6;0.7;1.0;0.4;1.3;7;13.1;9.5;0.4;1.4;4.5;62;13;0;0.3;0.1;0.2;9;0;0;12.4;12.6;Recurring hamstring strain;Very High;2.5;22;0.0;0;0;0;0;0;0;0;0;0;0
Premier League;Martin Ødegaard;M/AM (C);27;"5'10""";Very Strong;Reasonable;7.08;2;3005;11;273.181818181818;7.45;7.45;3.55;0.2;15%;0.100675675675676;2.2;1.0;1.1;46%;3;0;0;71;8;10.41;0.3;88%;56.6;1.0;2.3;3.9;2.9;0.9;1.1;0.5;0.7;7;10.0;3.8;0.5;0.9;2.5;81;21;0;0.1;0.1;0.0;10;1;0;11.0;10.5;No recurring injuries;Average;1.8;27;0.1;0;0;1;0;0;0;0;0;0;0
First Division;Jules Koundé;D (RC), WB (R);27;"5'10""";Fairly Strong;Very Strong;7.14;4;3761;4;940.25;2.07;2.07;1.93;0.0;13%;0.069;0.7;0.3;0.4;43%;2;0;0;94;6;3.11;0.1;91%;75.2;0.2;1.1;9.6;1.1;0.3;1.1;0.3;1.0;2;11.1;14.2;1.7;3.2;8.2;69;100;4;0.5;0.9;0.4;49;8;0;11.8;17.0;No recurring injuries;Average;3.8;66;0.2;0;0;0;0;0;0;0;0;0;0
Premier League;Marc Guéhi;D (C);25;"6'0""";Strong;Very Strong;7.01;2;4219;0;0;0.44;0.44;-0.44;0.0;0%;0.0628571428571429;0.1;0.0;0.0;29%;0;0;0;84;2;1.16;0.0;95%;59.1;0.1;0.1;3.9;0.0;0.0;0.0;0.0;0.1;1;2.8;11.2;0.9;2.9;2.3;87;47;13;0.6;1.2;0.5;19;5;0;10.6;5.8;No recurring injuries;Above Average;4.8;59;0.8;0;0;2;0;0;0;0;0;0;0
First Division;Ferran Torres;AM (RL), ST (C);26;"6'0""";Fairly Strong;Very Strong;6.96;4;2390;17;140.588235294118;12.58;12.58;4.42;0.5;18%;0.133829787234043;3.5;1.9;1.1;53%;3;0;0;59;1;2.81;0.1;89%;37.5;0.3;1.4;2.3;1.6;0.5;1.6;0.5;1.8;31;12.4;3.7;0.9;1.2;5.3;79;29;2;0.2;0.0;0.0;34;0;0;11.3;10.6;No recurring injuries;Above Average;5.6;39;0.1;0;0;0;0;0;0;0;0;0;0
Premier League;Matthijs de Ligt;D (C);26;"6'2""";Reasonable;Very Strong;7.01;1;3098;1;3098;0.96;0.96;0.04;0.0;7%;0.0685714285714286;0.4;0.2;0.0;57%;0;0;0;73;1;0.13;0.0;93%;55.2;0.0;0.1;3.8;0.0;0.0;0.0;0.0;0.0;0;4.8;11.8;0.8;4.0;2.3;80;35;10;1.0;1.5;0.9;11;3;0;10.6;5.3;No recurring injuries;Above Average;7.0;79;1.8;0;0;1;0;0;0;0;0;0;0
First Division;Éder Militão;D (RC);28;"6'1""";Weak;Very Strong;7.07;4;4039;4;1009.75;2.91;2.91;1.09;0.1;15%;0.107777777777778;0.6;0.2;0.2;30%;0;0;0;82;4;1.81;0.0;93%;54.7;0.1;0.3;3.1;0.1;0.0;0.1;0.0;0.0;1;3.8;13.8;0.5;2.6;2.5;68;31;6;0.7;1.0;0.7;23;6;0;10.4;5.3;No recurring injuries;Very High;5.7;69;0.8;0;0;0;0;0;0;0;0;0;0
First Division;Nico Williams;M/AM (RL), ST (C);23;"5'11""";Strong;Very Strong;7.39;12;3697;13;284.384615384615;11.15;11.15;1.85;0.3;12%;0.106190476190476;2.6;1.2;0.8;46%;5;4;100;58;11;8.66;0.2;90%;54.5;0.3;2.4;5.2;5.7;0.9;3.3;0.7;3.7;35;12.2;6.1;1.9;2.3;11.0;72;108;0;0.3;0.3;0.0;42;2;0;11.8;17.6;No recurring injuries;Below Average;3.3;33;0.1;0;0;0;0;0;0;0;0;0;0
Premier League;John Stones;D (RC), DM;31;"6'2""";Fairly Strong;Very Strong;7.11;3;1741;1;1741;0.53;0.53;0.47;0.0;17%;0.0883333333333333;0.3;0.1;0.1;33%;0;0;0;38;1;0.87;0.0;94%;68.4;0.2;0.6;6.4;0.1;0.0;0.1;0.0;0.2;1;5.1;13.1;1.1;3.9;4.1;84;25;5;0.9;0.8;0.5;5;1;0;11.8;9.5;Recurring moderate thigh strain;Very High;6.7;75;1.4;0;0;0;0;0;0;0;0;0;0
