Division;Club;Player;Best Pos;Sec. Position;Position;Age;Height;Wage;Transfer Value;Left Foot;Right Foot;Rating;PoM;Minutes;Goals;Mins/Gl;Goals per 90 minutes;xG;NP-xG;xG-OP;xG/90;Conv %;xG/shot;Shot/90;ShT/90;Shots From Outside The Box Per 90 minutes;Shot %;Goals From Outside The Box;Pens;Pen/R;Assists;Asts/90;xA;xA/90;Pas %;Ps A/90;Ch C/90;OP-KP/90;Pr passes/90;Crs A/90;Cr C/90;Cr C/A;OP-Crs A/90;OP-Crs C/90;OP-Cr %;Drb/90;Fouls Against;Off;Poss Lost/90;Poss Won/90;Tck/90;Int/90;Pres A/90;Tck R;Tck A;K Tck;Blk/90;Clr/90;Shts Blckd/90;Fouls Made;Yel;Red cards;Dist/90;Sprints/90;Recurring Injury;Injury Susceptibility;Aer A/90;Hdr %;K Hdrs/90;Clean Sheets;xGP;MLG;Sv %;Svh;Svp;Svt;Goals Conceded;Pens Faced;Pens Saved Ratio;Tgls/90;Tcon/90
Sky Bet Championship;Leeds;Stefanos Tzimas;ST (C);;ST (C);21;"6'1""";£20.5K - £23.5K p/w;£28M - £32M;Reasonable;Very Strong;7.17;5;2850;22;129.545454545455;0.7;13.16;12.35;8.84;0.4;24%;0.146222222222222;2.8;1.4;0.9;50%;3;8;88;4;0.1;3.81;0.1;87%;27.4;0.2;0.8;0.7;0.4;0.2;41;0.4;0.2;42;0.9;62;23;15.8;1.9;0.1;0.8;1.1;57;7;0;0.1;0.1;0.0;28;2;0;10.5;5.9;No recurring injuries;Average;5.8;35;0.1;0;0;0;0;0;0;0;0;0;0;1.6;1.0
First Division;R. Madrid;Vinícius Júnior;AM (L);ST (C);AM (L), ST (C);26;"5'9""";£450K - £550K p/w;£156M - £187M;Fairly Strong;Very Strong;7.47;2;3499;21;166.619047619048;0.5;18.77;18.77;2.23;0.5;15%;0.130347222222222;3.7;1.9;1.1;51%;4;0;0;10;0.3;7.88;0.2;92%;28.3;0.6;1.5;1.1;0.7;0.3;50;0.7;0.3;50;1.5;65;26;8.5;2.6;0.2;0.8;2.1;70;10;0;0.1;0.2;0.0;29;0;0;10.6;5.9;No recurring injuries;Below Average;5.0;22;0.0;0;0;0;0;0;0;0;0;0;0;2.4;0.9
Premier League;Newcastle;Nick Woltemade;ST (C);AM (R);AM (RC), ST (C);25;"6'6""";£125K - £140K p/w;£49M - £59M;Fairly Strong;Very Strong;7.04;3;2165;21;103.095238095238;0.9;16.04;12.96;4.96;0.7;25%;0.193253012048193;3.5;1.7;0.5;51%;1;4;75;3;0.1;3.8;0.2;88%;41.4;0.5;1.3;2.7;1.6;0.2;13;1.6;0.2;13;1.5;21;12;9.1;3.1;0.7;0.9;4.4;70;23;0;0.2;0.2;0.1;14;0;0;11.6;8.1;No recurring injuries;Average;4.9;52;0.3;0;0;0;0;0;0;0;0;0;0;2.2;0.9
Ligue 1 McDonald's;Paris SG;Ousmane Dembélé;ST (C);AM (L);AM (RL), ST (C);29;"5'10""";£325K - £350K p/w;£167M - £214M;Very Strong;Very Strong;7.41;6;2835;21;135;0.7;13.62;13.62;7.38;0.4;23%;0.146451612903226;3.0;1.5;1.0;52%;3;1;100;6;0.2;5.69;0.2;89%;34.0;0.4;1.6;1.9;2.0;0.6;30;1.3;0.5;40;2.0;45;27;6.2;2.5;0.2;1.0;2.6;46;13;0;0.1;0.1;0.0;29;1;0;11.3;7.4;No recurring injuries;Average;3.6;17;0.0;0;0;0;0;0;0;0;0;0;0;2.4;0.6
Premier League;Brentford;Gonzalo;ST (C);M (R), AM (L);M (R), AM (RL), ST (C);23;"6'0""";£65K - £86K p/w;£17.5M - £21M;Fairly Strong;Very Strong;6.80;3;3292;20;164.6;0.5;17.21;15.67;2.79;0.5;20%;0.175612244897959;2.7;1.3;0.7;47%;2;2;100;4;0.1;3.07;0.1;90%;29.2;0.2;1.0;1.4;0.9;0.1;8;0.9;0.1;9;0.8;35;42;7.4;2.5;0.5;1.0;2.5;65;26;1;0.1;0.1;0.1;51;1;0;11.6;8.1;No recurring injuries;Average;7.9;31;0.1;0;0;0;0;0;0;0;0;0;0;1.6;1.7
First Division;Real Hispalis;Cucho Hernández;ST (C);AM (RL);AM (RL), ST (C);27;"5'9""";£41.5K - £48.5K p/w;£51M - £63M;Reasonable;Very Strong;7.09;2;2558;20;127.9;0.7;12.5;11.69;7.5;0.4;20%;0.123762376237624;3.6;1.8;1.1;50%;1;4;75;3;0.1;3.03;0.1;91%;28.6;0.4;0.7;0.5;0.2;0.2;71;0.2;0.2;71;1.0;43;38;17.7;2.3;0.1;0.8;1.7;80;5;1;0.1;0.3;0.0;37;1;0;10.6;6.1;No recurring injuries;Below Average;5.0;35;0.0;0;0;0;0;0;0;0;0;0;0;1.7;1.0
Bundesliga;Bayer 04 Leverkusen;Christian Kofane;ST (C);AM (RC);AM (RC), ST (C);20;"6'2""";£51K - £70K p/w;£65M - £81M;Reasonable;Very Strong;7.22;4;3043;20;152.15;0.6;13.89;13.89;6.11;0.4;17%;0.11575;3.5;1.7;1.2;47%;3;0;0;7;0.2;5.01;0.1;87%;34.2;0.2;1.0;1.4;1.0;0.3;30;1.0;0.3;30;1.7;59;30;13.4;2.8;0.4;1.4;3.4;78;18;0;0.3;0.2;0.0;34;1;0;11.6;9.4;No recurring injuries;Below Average;5.6;46;0.1;0;0;0;0;0;0;0;0;0;0;1.9;1.1
Serie BKT;Venezia;Yussuf Poulsen;ST (C);;ST (C);32;"6'4""";£13.5K - £20K p/w;Not for Sale;Fairly Strong;Very Strong;7.45;0;2542;20;127.1;0.7;12.44;11.64;7.56;0.4;22%;0.133763440860215;3.3;1.8;0.0;55%;0;1;100;6;0.2;2.19;0.1;61%;21.2;0.0;0.0;0.0;0.0;0.0;0;0.0;0.0;0;0.0;48;0;0.0;0.0;1.3;0.0;0.0;73;49;0;0.0;0.0;0.0;54;0;0;0.0;0.0;No recurring injuries;Very Low;0.0;0;0.0;0;0;0;0;0;0;0;0;0;0;0.0;0.0
Jupiler Pro League;Union SG;Promise David;ST (C);AM (C);AM (RC), ST (C);25;"6'5""";£10.25K - £15.5K p/w;£14.5M - £18.5M;Reasonable;Very Strong;7.08;4;3009;19;158.368421052632;0.6;12.13;11.37;6.87;0.4;20%;0.130430107526882;2.8;1.3;0.8;47%;2;7;100;2;0.1;3.57;0.1;87%;26.8;0.4;1.0;1.0;0.5;0.1;18;0.5;0.1;19;0.5;39;22;14.4;2.7;0.2;0.7;1.4;50;14;0;0.1;0.1;0.0;29;1;0;10.1;6.6;No recurring injuries;Below Average;8.0;40;0.1;0;0;0;0;0;0;0;0;0;0;1.5;1.1
Serie BKT;Salernitana;Boulaye Dia;AM (C);;AM (C), ST (C);30;"5'11""";£26K - £45.5K p/w;£450K - £4.5M;Reasonable;Very Strong;7.63;1;2700;19;142.105263157895;0.6;12.93;10.53;6.07;0.4;19%;0.126764705882353;3.4;1.9;0.0;56%;0;3;100;10;0.3;3.58;0.1;63%;20.0;0.0;0.0;0.0;0.0;0.0;0;0.0;0.0;0;0.0;38;0;0.0;0.0;1.2;0.0;0.0;57;61;0;0.0;0.0;0.0;30;0;0;0.0;0.0;No recurring injuries;Very Low;0.0;0;0.0;0;0;0;0;0;0;0;0;0;0;0.0;0.0
Premier League;Sporting CP;Luis Suárez;ST (C);;ST (C);29;"5'11""";£35.5K - £55K p/w;£69M;Fairly Strong;Very Strong;7.22;4;3159;19;166.263157894737;0.5;14.19;14.19;4.81;0.4;14%;0.10589552238806;3.8;2.0;1.0;53%;1;2;100;6;0.2;5.26;0.1;87%;30.0;0.3;1.0;0.8;0.4;0.2;42;0.4;0.2;43;1.0;80;37;13.5;2.7;0.2;0.8;1.3;67;9;0;0.2;0.1;0.0;36;2;0;10.7;7.2;No recurring injuries;Below Average;5.8;34;0.0;0;0;0;0;0;0;0;0;0;0;1.7;0.8
First Division;Barcelona;Ferran Torres;ST (C);AM (R);AM (RL), ST (C);27;"6'0""";£100K - £175K p/w;£117M - £143M;Fairly Strong;Very Strong;6.97;2;2789;17;164.058823529412;0.5;14.56;14.56;2.44;0.5;13%;0.11030303030303;4.3;2.2;1.6;52%;7;0;0;1;0.0;4.77;0.2;89%;33.4;0.3;1.5;2.0;1.2;0.4;34;1.2;0.4;34;1.5;34;38;11.3;3.1;0.4;1.2;3.9;76;17;1;0.2;0.3;0.0;39;1;0;11.2;9.2;No recurring injuries;Above Average;5.1;35;0.1;0;0;0;0;0;0;0;0;0;0;2.0;1.0
Sky Bet Championship;Sheffield United;Tom Cannon;ST (C);;ST (C);24;"5'11""";£24K - £33.5K p/w;£6.8M - £11M;Weak;Very Strong;6.83;1;2996;17;176.235294117647;0.5;12.07;9.64;4.93;0.4;19%;0.137159090909091;2.6;1.4;0.8;55%;2;4;25;2;0.1;1.66;0.0;87%;26.9;0.1;0.9;0.7;0.4;0.2;66;0.4;0.2;67;0.7;58;41;16.5;2.7;0.1;0.7;1.9;57;7;0;0.1;0.1;0.0;40;2;0;10.6;6.5;No recurring injuries;Below Average;6.9;26;0.2;0;0;0;0;0;0;0;0;0;0;1.4;1.4
Serie BKT;Palermo;Joel Pohjanpalo;ST (C);;ST (C);32;"6'1""";£11.5K - £19.25K p/w;Not for Sale;Fairly Strong;Very Strong;7.38;3;2443;17;143.705882352941;0.6;10.49;9.68;6.51;0.4;20%;0.120574712643678;3.2;1.8;0.1;56%;0;1;0;5;0.2;2.19;0.1;66%;21.6;0.0;0.0;0.1;0.0;0.0;0;0.0;0.0;0;0.0;44;1;1.2;0.3;1.0;0.2;0.2;66;41;0;0.0;0.0;0.0;26;0;0;0.9;0.4;No recurring injuries;Very Low;0.4;18;0.0;0;0;0;0;0;0;0;0;0;0;0.0;0.1
Bundesliga;FC Bayern München;Harry Kane;ST (C);AM (C);AM (C), ST (C);33;"6'2""";£350K - £375K p/w;Not for Sale;Strong;Very Strong;7.29;4;2947;17;173.352941176471;0.5;12.06;12.06;4.94;0.4;17%;0.1206;3.1;1.7;0.9;55%;3;1;100;8;0.2;6.11;0.2;88%;34.0;0.4;1.5;1.1;0.4;0.1;30;0.4;0.1;31;0.5;61;24;6.7;3.4;0.3;0.5;1.7;83;12;0;0.1;0.1;0.0;33;1;0;10.6;5.6;No recurring injuries;Above Average;6.4;51;0.1;0;0;0;0;0;0;0;0;0;0;1.9;1.0
Sky Bet Championship;Bristol City;Emil Riis;ST (C);;ST (C);28;"6'3""";£16.75K - £22.5K p/w;£800K - £8M;Reasonable;Very Strong;6.86;1;3096;17;182.117647058824;0.5;10.6;10.6;6.4;0.3;20%;0.124705882352941;2.5;1.3;0.8;54%;1;1;100;4;0.1;1.9;0.1;89%;27.3;0.2;0.8;0.7;0.5;0.2;41;0.4;0.2;47;1.3;48;26;18.9;1.5;0.2;1.0;1.3;100;7;0;0.2;0.3;0.0;32;3;0;10.1;8.1;No recurring injuries;Below Average;7.1;17;0.1;0;0;0;0;0;0;0;0;0;0;1.7;1.0
Premier League;Benfica;Loïs Openda;ST (C);AM (LC);AM (LC), ST (C);27;"5'10""";£95K - £115K p/w;£79M - £96M;Fairly Strong;Very Strong;7.14;5;2985;17;175.588235294118;0.5;13.07;13.07;3.93;0.4;14%;0.109831932773109;3.6;1.7;1.4;47%;1;0;0;5;0.2;4.8;0.1;89%;28.6;0.1;1.2;0.9;0.4;0.2;35;0.4;0.2;36;0.9;60;33;13.1;2.2;0.1;0.7;1.5;50;8;1;0.1;0.2;0.0;39;4;0;10.5;5.8;No recurring injuries;Low;5.9;40;0.1;0;0;0;0;0;0;0;0;0;0;1.8;0.7
Serie BKT;Cremonese;Michy Batshuayi;ST (C);;ST (C);33;"6'1""";£33K - £49.5K p/w;£190K - £1.9M;Strong;Very Strong;6.80;0;2520;17;148.235294117647;0.6;11.36;10.56;5.64;0.4;24%;0.162285714285714;2.5;1.0;0.0;40%;0;1;100;8;0.3;1.57;0.1;56%;20.0;0.0;0.0;0.0;0.0;0.0;0;0.0;0.0;0;0.0;35;0;0.0;0.0;0.8;0.0;0.0;67;33;0;0.0;0.0;0.0;57;0;1;0.0;0.0;No recurring injuries;Very Low;0.0;0;0.0;0;0;0;0;0;0;0;0;0;0;0.0;0.0
Serie BKT;Pisa;Mattéo Tramoni;AM (C);AM (RL), ST (C);AM (RLC), ST (C);27;"5'9""";£21.5K - £31K p/w;£6M - £9.6M;Reasonable;Very Strong;7.39;3;2673;17;157.235294117647;0.6;8.7;8.7;8.3;0.3;20%;0.102352941176471;2.9;1.6;0.1;58%;0;0;0;8;0.3;1.76;0.1;67%;21.9;0.0;0.1;0.1;0.8;0.1;8;0.1;0.0;0;0.1;45;3;2.1;0.9;0.7;0.3;0.3;69;32;0;0.1;0.0;0.0;27;0;0;1.2;0.7;No recurring injuries;Very Low;0.8;29;0.0;0;0;0;0;0;0;0;0;0;0;0.2;0.1
Premier League;Man Utd;Bruno Fernandes;AM (C);;DM, M/AM (C);32;"5'10""";£300K p/w;£50M - £55M;Fairly Strong;Very Strong;7.08;4;2711;17;159.470588235294;0.6;14.39;10.54;2.61;0.5;18%;0.153085106382979;3.1;1.7;1.8;55%;1;5;80;11;0.4;7.01;0.2;89%;46.3;0.5;1.8;4.3;5.5;1.3;23;1.0;0.3;33;0.8;27;8;9.1;4.0;1.0;1.6;5.2;73;41;3;0.1;0.5;0.0;24;2;0;13.2;22.7;No recurring injuries;Very Low;2.1;25;0.0;0;0;0;0;0;0;0;0;0;0;2.5;1.8
Sky Bet Championship;Norwich;Jovon Makama;ST (C);M (R), AM (L);M (R), AM (RL), ST (C);23;"6'5""";£15.5K - £22.5K p/w;£6.6M - £11M;Weak;Very Strong;6.83;3;3278;17;192.823529411765;0.5;15.84;15.03;1.16;0.4;14%;0.134237288135593;3.2;1.5;1.0;47%;4;3;67;0;0.0;1.37;0.0;88%;29.1;0.1;1.1;0.9;0.4;0.2;37;0.4;0.2;38;0.6;78;20;18.6;2.1;0.2;0.5;1.6;69;13;0;0.1;0.2;0.0;33;0;0;10.8;7.0;No recurring injuries;Below Average;5.8;42;0.3;0;0;0;0;0;0;0;0;0;0;1.0;1.0
Bundesliga;TSG Hoffenheim;Fisnik Asllani;ST (C);AM (C);AM (C), ST (C);24;"6'3""";£49.5K - £65K p/w;£25M - £29M;Fairly Strong;Very Strong;7.05;3;2975;17;175;0.5;14.02;13.21;2.98;0.4;13%;0.107846153846154;3.9;1.7;1.3;43%;3;2;50;4;0.1;5.35;0.2;89%;31.5;0.2;1.1;1.0;0.5;0.3;60;0.5;0.3;60;0.6;93;31;12.6;2.7;0.3;0.5;1.5;90;10;0;0.2;0.1;0.1;34;2;0;10.3;6.5;No recurring injuries;Above Average;7.1;37;0.2;0;0;0;0;0;0;0;0;0;0;1.4;0.7
Sky Bet Championship;Millwall;Alysson Edward;AM (R);AM (L);AM (RL);20;"5'10""";£21K - £30.5K p/w;£10M - £12.5M;Very Strong;Weak;7.16;5;3516;17;206.823529411765;0.4;9.06;9.06;7.94;0.2;23%;0.124109589041096;1.9;0.9;0.5;48%;1;0;0;4;0.1;6.88;0.2;86%;42.4;0.3;1.8;3.7;4.1;0.9;21;4.1;0.9;22;4.9;44;14;18.3;5.2;1.3;2.2;9.3;80;61;0;0.3;0.5;0.0;43;0;0;11.8;16.3;No recurring injuries;Below Average;4.0;43;0.1;0;0;0;0;0;0;0;0;0;0;1.2;1.2
Eredivisie;Feyenoord;Ayase Ueda;ST (C);;ST (C);28;"6'0""";£20.5K - £32.5K p/w;£17.5M - £28M;Reasonable;Very Strong;6.96;3;2607;17;153.352941176471;0.6;12.65;12.65;4.35;0.4;17%;0.129081632653061;3.4;1.8;1.1;54%;1;1;100;1;0.0;3.74;0.1;91%;30.1;0.3;0.8;0.7;0.2;0.1;28;0.2;0.1;29;0.8;39;20;11.9;2.5;0.2;1.0;2.3;43;14;0;0.0;0.2;0.0;25;1;0;11.0;7.5;No recurring injuries;Average;5.5;32;0.0;0;0;0;0;0;0;0;0;0;0;1.5;0.9
First Division;Vigo;Ferran Jutglà;ST (C);;ST (C);28;"5'9""";£33K - £37.5K p/w;£12.5M - £18M;Weak;Very Strong;6.94;4;2286;16;142.875;0.6;11.84;10.26;4.16;0.5;26%;0.190967741935484;2.4;1.3;0.5;55%;2;5;80;2;0.1;2.28;0.1;90%;30.7;0.1;0.9;0.8;0.5;0.3;58;0.5;0.3;58;0.7;47;21;21.9;1.6;0.2;1.0;2.0;50;10;0;0.1;0.2;0.0;26;0;0;10.6;6.5;No recurring injuries;Below Average;5.4;23;0.1;0;0;0;0;0;0;0;0;0;0;1.3;1.3
Serie A;Bologna;Santiago Castro;ST (C);;ST (C);22;"6'0""";£42.5K - £74K p/w;£75M;Weak;Very Strong;6.96;1;2656;16;166;0.5;15.31;15.31;0.69;0.5;14%;0.130854700854701;4.0;2.0;1.1;50%;3;0;0;3;0.1;2.39;0.1;90%;29.5;0.3;0.9;0.8;0.3;0.1;30;0.3;0.1;30;0.7;52;26;13.2;3.7;0.2;0.8;1.1;78;9;1;0.3;0.2;0.0;30;6;0;11.0;7.5;No recurring injuries;Below Average;7.1;40;0.1;0;0;0;0;0;0;0;0;0;0;1.3;1.5
Bundesliga;RB Leipzig;Johan Bakayoko;AM (R);M (R), AM (L);M (R), AM (RL);23;"5'10""";£86K - £115K p/w;£34M - £49M;Very Strong;Reasonable;7.17;3;2175;16;135.9375;0.7;9.96;9.96;6.04;0.4;19%;0.115813953488372;3.6;1.9;1.2;52%;3;0;0;3;0.1;5.67;0.2;89%;50.9;0.5;2.2;5.3;3.4;0.8;24;2.3;0.7;29;3.7;23;9;13.9;6.3;1.4;2.4;11.2;81;43;1;0.3;0.8;0.1;13;1;0;12.4;17.4;No recurring injuries;Above Average;3.1;39;0.0;0;0;0;0;0;0;0;0;0;0;1.9;0.9
Premier League;Arsenal;Declan Rice;M (C);;DM, M (C);28;"6'2""";£325K - £350K p/w;£117M - £146M;Reasonable;Very Strong;7.27;2;2924;16;182.75;0.5;10.9;10.9;5.1;0.3;18%;0.125287356321839;2.7;1.4;1.2;51%;3;0;0;10;0.3;8.58;0.3;89%;65.3;0.8;2.0;4.2;6.5;1.4;20;0.9;0.3;36;0.5;21;16;11.8;6.0;1.1;2.8;7.8;69;51;1;0.7;0.6;0.6;33;3;0;13.5;24.5;No recurring injuries;Below Average;1.9;54;0.2;0;0;0;0;0;0;0;0;0;0;2.2;0.9
Sky Bet Championship;Stockport;Kyle Wootton;ST (C);;ST (C);30;"6'2""";£13.25K - £18.25K p/w;£4.1M - £6.8M;Reasonable;Very Strong;6.90;2;3843;16;240.1875;0.4;13.54;13.54;2.46;0.3;14%;0.117739130434783;2.7;1.4;0.8;52%;1;0;0;3;0.1;4.25;0.1;89%;31.5;0.3;1.0;0.8;0.3;0.1;42;0.3;0.1;43;0.5;60;29;17.1;2.2;0.2;0.7;1.9;64;11;0;0.0;0.3;0.0;36;2;0;10.4;8.4;No recurring injuries;Low;8.7;45;0.1;0;0;0;0;0;0;0;0;0;0;1.2;1.4
Serie BKT;Cremonese;Antonio Sanabria;ST (C);;ST (C);31;"5'11""";£48K - £69K p/w;£750K - £7.2M;Reasonable;Very Strong;7.41;0;2357;16;147.3125;0.6;10.09;10.09;5.91;0.4;21%;0.134533333333333;2.9;1.5;0.0;52%;0;0;0;5;0.2;2.48;0.1;60%;20.6;0.0;0.0;0.0;0.0;0.0;0;0.0;0.0;0;0.0;31;0;0.0;0.0;1.1;0.0;0.0;63;46;0;0.0;0.0;0.0;23;0;0;0.0;0.0;No recurring injuries;Very Low;0.0;0;0.0;0;0;0;0;0;0;0;0;0;0;0.0;0.0
Serie A;Fiorentina;Moise Kean;ST (C);;ST (C);27;"6'0""";£120K - £140K p/w;£69M - £82M;Fairly Strong;Very Strong;6.94;4;2562;16;160.125;0.6;14.15;13.34;1.85;0.5;15%;0.132242990654206;3.8;2.0;1.4;54%;6;4;75;1;0.0;2.73;0.1;90%;27.7;0.2;0.8;0.7;0.4;0.2;41;0.4;0.2;42;0.8;62;17;19.2;1.8;0.1;0.5;1.3;50;6;0;0.1;0.2;0.0;33;4;0;10.7;5.9;No recurring injuries;Very Low;5.6;33;0.0;0;0;0;0;0;0;0;0;0;0;1.2;0.7
